Altitude,Latitude,Longitude,ICSEV,SLD,ICPRB
11000,41.2612,-73.2889,2,-0.09,0.27
11000,41.2426,-73.1357,2,-0.09,0.27
11000,41.2238,-72.9825,2,-0.09,0.27
11000,41.2048,-72.8294,2,-0.09,0.28
11000,41.1857,-72.6763,2,-0.09,0.11
11000,41.1665,-72.5233,2,-0.09,0.13
11000,41.1472,-72.3704,2,-0.09,0.13
11000,41.1277,-72.2175,2,-0.09,0.14
11000,41.1081,-72.0647,2,-0.09,0.16
11000,41.6901,-76.0344,2,-0.09,0.27
11000,41.6738,-75.8801,2,-0.09,0.23
11000,41.6573,-75.7258,2,-0.09,0.22
11000,41.6408,-75.5715,2,-0.09,0.16
11000,41.6241,-75.4173,2,-0.09,0.43
11000,41.6072,-75.2632,2,-0.09,0.48
11000,41.5903,-75.1091,5,-0.09,0.58
11000,41.5732,-74.955,5,-0.09,0.56
11000,41.556,-74.8011,2,-0.09,0.46
11000,41.5386,-74.6471,2,-0.09,0.43
11000,41.5211,-74.4932,2,-0.09,0.43
11000,41.5035,-74.3394,2,-0.09,0.47
11000,41.4857,-74.1856,2,-0.09,0.4
11000,41.4678,-74.0319,2,-0.09,0.56
11000,41.4498,-73.8782,2,-0.09,0.58
11000,41.4317,-73.7246,2,-0.09,0.54
11000,41.4134,-73.5711,2,-0.09,0.48
11000,41.395,-73.4175,2,-0.09,0.32
11000,41.3764,-73.2641,2,-0.09,0.31
11000,41.3577,-73.1107,2,-0.09,0.31
11000,41.3389,-72.9574,2,-0.09,0.3
11000,41.32,-72.8041,2,-0.09,0.29
11000,41.3009,-72.6509,2,-0.09,0.29
11000,41.2817,-72.4977,2,-0.09,0.11
11000,41.2623,-72.3446,2,-0.09,0.12
11000,41.2428,-72.1916,2,-0.09,0.13
11000,41.2232,-72.0386,2,-0.09,0.15
11000,41.7393,-75.3949,2,-0.09,0.44
11000,41.7224,-75.2406,2,-0.09,0.49
11000,41.7055,-75.0863,5,-0.09,0.6
11000,41.6884,-74.9321,5,-0.09,0.61
11000,41.6711,-74.7779,5,-0.09,0.54
11000,41.6538,-74.6238,2,-0.09,0.46
11000,41.6363,-74.4698,2,-0.09,0.44
11000,41.6186,-74.3158,2,-0.09,0.46
11000,41.6009,-74.1618,2,-0.09,0.53
11000,41.583,-74.0079,5,-0.09,0.57
11000,41.5649,-73.8541,5,-0.09,0.62
11000,41.5468,-73.7003,5,-0.09,0.62
11000,41.5285,-73.5466,2,-0.09,0.57
11000,41.51,-73.3929,2,-0.09,0.51
11000,41.4915,-73.2393,2,-0.09,0.36
